AvgCyclomaticModified,AvgCyclomatic,AvgEssential,AvgCyclomaticStrict,AvgLine,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethod,CountLineBlank,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineCode,CountLine,CountSemicolon,CountStmtDecl,CountStmtExe,CountStmt,MaxCyclomaticModified,MaxCyclomatic,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomaticModified,SumCyclomatic,SumCyclomaticStrict,SumEssential,PRE-ReleaseDefects,POST-ReleaseDefects,NumberOfChanges,NumberOfCodeChurn,InvokedMethods,TryQuantity,TrySizeLOC,TrySizeSLOC,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions,DestructiveWrapping,NestedTry,ThorwsKitchenSink,ThrowWithinFinally,CatchandDoNothing,CatchandReturnnull,DummyHandler,IgnoringInterruptedException,CatchGeneric,ThrowsGeneric,LogandReturnNull,LogandThrowDetector
1,1,1,1,16,2,1,1,3,5,6,2,0,2,0,4,6,24,66,65,34,115,172,85,60,48,95,3,3,4,1,1,0.295652,10,10,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,9,0,1,4,3,7,11,0,0,5,0,6,11,18,48,71,17,125,160,60,41,47,84,7,7,7,1,2,0.136,24,24,24,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,18,0,1,0,1,3,3,0,0,2,0,1,3,6,30,44,17,68,91,41,25,31,47,1,1,1,1,1,0.25,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,15,0,4,5,5,10,15,0,1,0,0,14,15,39,116,137,36,233,308,138,101,110,175,5,5,5,3,2,0.154506,31,31,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,15,0,1,2,7,1,3,0,0,0,0,3,3,9,42,34,17,75,101,54,37,25,59,1,1,2,1,1,0.226667,3,3,4,3,0,6,0,0,87,2,4,10,2,0,0,4,2,200,0,0,0,0,0,0,0,0,1,2,0,0
1,1,1,1,4,0,1,0,6,8,8,0,0,1,0,7,8,13,35,19,17,55,85,28,26,13,37,1,1,1,1,0,0.309091,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,17,3,4,1,2,24,25,11,1,3,1,20,25,66,157,208,141,382,584,187,118,161,249,14,14,14,3,4,0.36911,63,63,63,27,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,28,6,1,7,0,0,7,0,0,5,0,2,7,27,52,110,63,159,247,73,46,61,93,6,6,6,1,2,0.396226,18,18,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,11,1,1,0,0,2,2,1,0,0,0,2,2,7,28,9,19,39,64,21,19,6,24,1,1,1,1,0,0.487179,2,2,2,2,0,0,0,0,5,2,2,6,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,11,1,1,0,0,2,2,1,0,0,0,2,2,7,27,9,19,38,63,20,18,6,23,1,1,1,1,0,0.5,2,2,2,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,14,3,1,0,2,26,26,9,1,0,6,19,26,72,148,152,111,313,496,144,94,110,184,6,6,10,1,2,0.354633,38,38,42,26,0,6,0,0,45,1,1,5,1,0,0,1,1,100,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,3,0,1,0,0,1,1,0,0,0,0,1,1,4,3,1,20,6,30,2,3,1,4,1,1,1,1,0,3.33333,1,1,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,5,5,2,18,10,33,4,5,2,7,1,1,1,1,0,1.8,2,2,2,2,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,1,0,0,6,6,4,0,0,0,6,6,8,12,18,18,41,67,15,12,14,26,2,2,2,1,1,0.439024,10,10,10,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,38,6,4,4,3,3,7,0,0,3,0,4,7,32,90,159,62,238,330,146,84,111,172,16,16,16,5,3,0.260504,27,27,27,11,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,9,4,1,0,3,17,17,2,0,1,0,16,17,25,57,49,103,110,238,41,42,27,60,2,2,2,1,1,0.936364,18,18,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,11,0,1,1,1,5,6,3,0,1,2,3,6,15,44,40,24,85,124,46,35,29,57,3,3,3,1,1,0.282353,10,10,10,6,0,4,0,0,35,1,3,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,3,0,1,0,0,4,4,2,0,0,0,4,4,8,11,6,17,22,47,11,10,6,16,1,1,1,1,0,0.772727,4,4,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,4,27,1,4,0,4,45,45,31,17,9,7,12,45,107,266,860,110,1164,1376,627,229,616,788,17,44,44,4,4,0.0945017,158,195,206,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,2,0,2,43,43,19,5,0,0,38,43,48,75,72,30,184,256,72,71,51,119,2,2,2,1,1,0.163043,45,45,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,15,15,0,15,0,0,0,15,20,29,0,20,30,70,26,27,0,27,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,4,4,1,0,0,0,4,4,7,11,4,17,20,44,9,10,4,14,1,1,1,1,0,0.85,4,4,4,4,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,5,31,5,1,0,2,4,4,8,0,0,1,3,4,18,39,76,57,121,191,64,36,50,81,8,8,9,3,2,0.471074,17,17,21,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,12,1,20,4,2,100,104,50,8,8,27,61,104,185,473,631,254,1181,1615,581,386,461,771,12,12,16,5,5,0.215072,177,177,192,116,0,0,0,0,7,1,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,8,0,2,0,0,4,4,0,0,0,0,4,4,8,15,12,17,33,58,15,15,6,21,2,2,2,1,0,0.515152,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,4,4,0,4,0,0,0,4,9,10,0,40,11,60,9,10,0,10,0,0,0,0,0,3.63636,0,0,0,0,0,0,0,0,45,5,11,25,6,0,0,3,6,50,1,0,2,0,0,0,2,2,1,0,0,0
1,1,1,1,7,0,3,0,1,11,11,8,0,0,3,8,11,27,52,47,31,110,166,56,44,38,76,5,5,7,3,3,0.281818,17,17,19,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,2,6,6,0,17,7,30,5,6,0,6,0,0,0,0,0,2.42857,0,0,0,0,0,8,0,0,83,2,2,14,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
1,1,1,1,11,0,2,0,1,25,25,7,1,3,2,19,25,43,210,161,29,354,426,187,152,121,225,3,3,3,1,1,0.0819209,34,34,34,25,0,0,0,0,13,1,1,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,1,1,0,0,0,0,1,1,4,4,1,17,7,28,3,4,1,5,1,1,1,1,0,2.42857,1,1,1,1,0,2,0,0,142,3,3,12,3,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0
2,2,1,2,13,0,5,0,1,20,20,16,1,5,7,7,20,33,100,157,24,283,340,144,86,114,188,4,5,6,3,3,0.0848057,41,44,47,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,2,2,2,6,0,17,7,26,1,2,0,2,0,0,0,0,0,2.42857,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,4,4,3,0,0,0,4,4,8,13,7,17,25,50,14,12,7,19,1,1,1,1,0,0.68,4,4,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,3,3,2,0,0,0,3,3,7,9,5,17,18,42,10,9,5,14,1,1,1,1,0,0.944444,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,3,3,2,0,0,0,3,3,7,9,5,17,18,42,10,9,5,14,1,1,1,1,0,0.944444,3,3,3,3,0,8,0,0,39,2,2,6,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,1,1,4,0,1,0,0,3,3,2,0,0,0,3,3,7,10,5,17,19,43,10,9,5,14,1,1,1,1,0,0.894737,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,2,0,0,104,1,1,3,1,0,0,1,1,100,0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,25,25,0,24,0,0,1,25,16,46,0,40,47,103,43,44,0,44,0,0,0,0,0,0.851064,0,0,0,0,0,1,0,0,17,1,1,3,1,0,0,1,1,100,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,14,0,0,0,2,2,2,16,0,17,17,36,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,10,10,0,10,0,0,0,10,8,19,0,30,20,58,18,19,0,19,0,0,0,0,0,1.5,0,0,0,0,0,12,0,0,624,15,47,228,17,0,0,8,17,47.05882353,11,2,2,0,0,2,15,0,3,1,0,0
0,0,0,0,0,0,1,0,0,18,18,0,17,0,0,1,18,16,28,0,58,29,103,27,28,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,13,0,0,0,2,2,3,17,0,21,18,42,2,3,0,3,0,0,0,0,0,1.16667,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,2,2,2,3,0,17,4,23,1,2,0,2,0,0,0,0,0,4.25,0,0,0,0,0,3,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,6,7,3,17,13,36,7,7,3,10,1,1,1,1,0,1.30769,2,2,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,1,1,0,0,0,0,1,1,3,4,1,17,7,27,3,4,1,5,1,1,1,1,0,2.42857,1,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,5,6,3,17,12,34,6,6,3,9,1,1,1,1,0,1.41667,2,2,2,2,0,0,0,0,82,1,4,7,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,3,0,2,0,0,6,6,3,0,0,0,6,6,12,15,9,17,31,60,15,15,8,23,1,1,1,1,0,0.548387,6,6,6,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,7,6,3,17,12,36,6,6,3,9,1,1,1,1,0,1.41667,2,2,2,2,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,7,7,3,21,13,41,7,7,3,10,1,1,1,1,0,1.61538,2,2,2,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,20,0,0,0,2,2,10,22,0,28,23,61,1,2,0,2,0,0,0,0,0,1.21739,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2,0,0,4,2,2,0,0,0,4,4,8,10,3,17,17,42,7,8,3,11,1,1,1,1,0,1,2,2,2,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,9,6,3,17,12,38,6,6,3,9,1,1,1,1,0,1.41667,2,2,2,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,1,1,0,0,0,0,1,1,4,4,1,17,7,28,3,4,1,5,1,1,1,1,0,2.42857,1,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,6,6,3,17,12,35,6,6,3,9,1,1,1,1,0,1.41667,2,2,2,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,3,3,1,0,0,0,3,3,7,7,4,17,15,39,7,7,4,11,1,1,1,1,0,1.13333,3,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,2,2,1,0,0,0,2,2,7,6,4,17,13,37,6,6,3,9,1,1,1,1,0,1.30769,2,2,2,2,0,0,2,34,29,2,7,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,3,3,2,0,0,0,3,3,11,10,6,17,20,48,10,9,5,14,1,1,1,1,0,0.85,3,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,3,3,2,0,0,0,3,3,8,9,5,17,18,43,10,9,5,14,1,1,1,1,0,0.944444,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,9,8,3,17,14,40,8,8,3,11,1,1,1,1,0,1.21429,2,2,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,3,3,2,0,0,0,3,3,8,12,5,17,21,46,12,11,5,16,1,1,1,1,0,0.809524,3,3,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,5,1,0,0,2,2,1,0,0,0,2,2,6,6,3,27,12,45,6,6,3,9,1,1,1,1,0,2.25,2,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,2,2,1,0,0,0,2,2,7,7,3,17,13,37,6,6,3,9,1,1,1,1,0,1.30769,2,2,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,6,2,1,0,0,2,2,1,0,0,0,2,2,6,7,3,26,13,45,7,7,3,10,1,1,1,1,0,2,2,2,2,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,17,0,0,0,2,2,9,19,0,27,20,56,1,2,0,2,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,2,2,1,0,0,0,2,2,7,7,3,17,13,37,6,6,3,9,1,1,1,1,0,1.30769,2,2,2,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,4,4,3,0,0,0,4,4,8,13,7,17,25,50,14,12,7,19,1,1,1,1,0,0.68,4,4,4,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,2,0,0,2,2,11,0,0,0,2,2,8,22,3,21,29,58,20,21,3,24,1,1,1,1,0,0.724138,2,2,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,6,7,3,21,13,40,7,7,3,10,1,1,1,1,0,1.61538,2,2,2,2,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,0,9,0,0,0,2,2,6,11,0,24,12,42,1,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,4,4,3,0,0,0,4,4,8,13,7,17,25,50,14,12,7,19,1,1,1,1,0,0.68,4,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,8,6,3,17,12,37,6,6,3,9,1,1,1,1,0,1.41667,2,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,14,1,30,4,11,90,94,79,6,16,10,62,94,194,580,1166,209,1806,2204,673,451,577,931,10,10,17,6,4,0.115725,201,212,234,108,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,0,1,0,0,6,6,1,0,0,4,2,6,10,37,19,20,62,92,31,27,16,41,4,4,5,1,2,0.322581,9,9,10,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,6,0,1,0,0,4,4,1,0,0,2,2,4,9,30,10,17,45,71,21,21,5,26,1,1,1,1,0,0.377778,4,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,20,1,16,10,16,57,67,34,2,19,4,42,67,177,517,1064,180,1615,1964,609,352,529,786,10,14,14,5,4,0.111455,150,163,170,73,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,16,1,18,4,6,50,54,28,0,16,7,31,54,125,309,598,144,980,1244,415,247,370,575,11,15,16,4,3,0.146939,127,133,145,57,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,6,8,0,17,10,33,3,5,0,5,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,3,9,0,1,0,0,8,8,4,0,0,0,8,8,13,29,50,17,85,115,39,21,42,63,16,16,16,16,2,0.2,27,27,27,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,16,1,5,0,2,20,18,18,2,3,4,11,20,49,126,172,47,309,405,155,104,126,204,7,7,8,3,3,0.152104,44,45,50,20,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,6,6,3,0,0,0,6,6,10,20,12,17,39,66,18,16,9,25,1,1,1,1,0,0.435897,6,6,6,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,22,3,1,0,1,4,4,9,0,0,2,2,4,13,62,56,33,120,166,72,48,40,81,5,5,5,1,2,0.275,10,10,10,4,0,3,0,0,15,1,1,3,1,0,0,2,1,200,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,6,0,1,2,0,16,18,18,0,0,0,18,18,23,48,67,18,142,183,71,47,51,98,2,3,3,1,1,0.126761,26,34,34,18,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,2,2,6,7,0,17,9,32,2,4,0,4,0,0,0,0,0,1.88889,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,2,2,1,0,0,0,2,2,6,9,3,17,15,38,7,7,3,10,1,1,1,1,0,1.13333,2,2,2,2,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,2,2,1,0,0,0,2,2,7,6,3,17,12,36,6,6,3,9,1,1,1,1,0,1.41667,2,2,2,2,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,1,0,6,7,4,1,0,0,6,7,12,19,12,18,38,68,18,15,11,26,1,1,1,1,0,0.473684,7,7,7,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,11,0,2,0,1,23,23,19,0,2,14,7,23,33,118,146,39,285,356,160,104,115,206,8,8,11,5,3,0.136842,45,45,50,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,4,24,1,6,1,6,46,47,41,14,14,5,14,47,135,369,740,129,1130,1388,544,298,545,727,16,16,18,7,4,0.114159,173,173,196,68,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,16,1,2,0,1,21,21,24,0,3,11,7,21,47,121,222,75,375,496,172,107,172,251,12,12,12,4,5,0.2,68,68,74,26,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,2,3,4,0,17,5,25,3,4,0,4,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,7,0,1,3,0,0,3,0,0,0,0,3,3,6,11,11,17,29,52,11,9,9,18,2,2,2,1,1,0.586207,6,6,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,1,1,1,0,0,0,0,1,1,4,14,5,20,21,45,9,10,1,11,1,1,1,1,0,0.952381,1,1,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,1,1,1,0,0,0,0,1,1,5,15,8,20,25,50,10,11,1,12,1,1,1,1,0,0.8,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,20,2,2,0,2,0,0,0,0,0,5.66667,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
