AvgCyclomaticModified,AvgCyclomatic,AvgEssential,AvgCyclomaticStrict,AvgLine,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethod,CountLineBlank,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineCode,CountLine,CountSemicolon,CountStmtDecl,CountStmtExe,CountStmt,MaxCyclomaticModified,MaxCyclomatic,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomaticModified,SumCyclomatic,SumCyclomaticStrict,SumEssential,PRE-ReleaseDefects,POST-ReleaseDefects,NumberOfChanges,NumberOfCodeChurn,InvokedMethods,TryQuantity,TrySizeLOC,TrySizeSLOC,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions,DestructiveWrapping,NestedTry,ThorwsKitchenSink,ThrowWithinFinally,CatchandDoNothing,CatchandReturnnull,DummyHandler,IgnoringInterruptedException,CatchGeneric,ThrowsGeneric,LogandReturnNull,LogandThrowDetector
1,1,1,1,12,5,1,3,8,10,13,5,0,4,0,9,13,23,50,56,100,107,230,66,47,50,85,3,3,4,1,2,0.934579,18,18,21,13,0,0,1,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,3,25,5,4,0,5,13,13,7,0,0,2,11,13,30,90,155,117,260,406,134,82,112,176,11,11,13,1,2,0.45,38,38,42,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,13,7,1,0,3,9,9,2,0,1,1,7,9,17,39,24,102,73,192,32,31,20,48,4,4,4,4,3,1.39726,14,14,14,12,0,3,1,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,14,3,4,7,7,14,21,11,10,0,0,11,21,36,87,162,113,283,432,134,76,137,194,8,8,11,5,4,0.399293,55,55,60,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,15,5,1,7,0,0,7,0,2,0,0,5,7,11,46,39,54,94,159,50,41,33,68,4,4,4,3,3,0.574468,16,16,18,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,6,1,1,0,0,3,3,1,0,0,1,2,3,6,14,5,22,23,51,11,10,5,15,1,1,1,1,0,0.956522,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,2,2,0,1,10,10,4,0,0,4,6,10,12,35,27,57,73,142,34,27,23,48,3,3,3,1,2,0.780822,13,13,13,9,0,0,1,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,17,6,1,0,1,5,5,1,0,0,2,3,5,9,24,35,48,61,118,33,24,32,47,5,5,5,4,3,0.786885,13,13,14,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,5,1,0,1,1,1,0,0,0,0,1,1,3,4,2,21,7,31,3,4,1,5,1,1,1,1,0,3,1,1,1,1,0,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,3,1,0,0,4,4,0,0,0,0,4,4,5,13,0,44,14,63,8,10,0,10,1,1,1,1,0,3.14286,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,4,4,2,0,0,0,4,4,7,21,6,16,29,52,13,14,5,18,1,1,1,1,0,0.551724,4,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,16,3,3,0,14,18,18,10,0,7,3,8,18,36,134,175,174,300,508,162,104,120,201,6,6,7,1,3,0.58,38,38,43,18,0,0,1,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,1,3,0,1,0,0,0,0,1,1,6,11,7,32,17,55,7,8,4,9,1,1,1,1,0,1.88235,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,0,3,7,1,3,10,1,0,0,0,10,10,16,37,45,16,90,122,51,36,35,66,3,3,3,1,1,0.177778,13,13,13,10,0,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
